Figure 3C,,,,,,,
structure ,Sensitivity,Specificity,Accuracy,MCC,Precision,Recall,F1-score
svm,0.526666667,0.903333333,0.715789474,0.464323498,0.526666667,0.843095238,0.640826331
RF,0.87,0.946666667,0.857894737,0.818675519,0.87,0.950707071,0.858897243
MLP,0.684444444,0.723333333,0.705263158,0.418248922,0.684444444,0.746987179,0.702321821
xgboost,0.878888889,0.957777778,0.868421053,0.837671093,0.878888889,0.95979798,0.868863826
LR,0.855555555555555,0.936666667,0.894736842,0.80011272,0.855555556,0.93709596,0.888646862
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Figure 3D,,,,,,,
,Sensitivity,Specificity,Accuracy,MCC,Precision,Recall,F1-score
svm,0.9,0.77,0.835,0.676082409,0.9,0.806837004,0.849328519
RF,0.87,0.83,0.85,0.703629906,0.87,0.848256333,0.856566198
MLP,0.82,0.865,0.8425,0.696675066,0.82,0.873785526,0.837003101
xgboost,0.84,0.855,0.8475,0.701315824,0.84,0.861106793,0.846351644
LR,0.825,0.87,0.8475,0.705211434,0.825,0.868341803,0.838212013
