1x,,,,,,,
,Sn, Sp,Acc, MCC, Pre, Recall, F-score
AAC,0.95,0.925,0.9375,0.880955613,0.95,0.938667141,0.941278364
CKSAAP(k=2),0.995,0.965,0.98,0.963559878,0.995,0.972161172,0.981985852
CKSAAP(k=3),1,0.9625,0.98125,0.966493616,1,0.970709793,0.983582481
CKSAAP(k=4),1,0.96,0.98,0.96450784,1,0.969312169,0.982667359
CKSAAP(k=5),0.9975,0.955,0.97625,0.95714536,0.9975,0.966147186,0.979666239
CKSAAP(k=6),0.9975,0.935,0.96625,0.940115186,0.9975,0.954294473,0.972319563
CTriad(k=0),0.965,0.95,0.9575,0.916780962,0.965,0.953601872,0.958383846
CTriad(k=1),0.965,0.95,0.9575,0.916780962,0.965,0.953601872,0.958383846
CTriad(k=2),0.965,0.95,0.9575,0.916780962,0.965,0.953601872,0.958383846
CTriad(k=3),0.965,0.95,0.9575,0.916780962,0.965,0.953601872,0.958383846
CTriad(k=4),0.965,0.95,0.9575,0.916780962,0.965,0.953601872,0.958383846
CTriad(k=5),0.965,0.95,0.9575,0.916780962,0.965,0.953601872,0.958383846
DDE,0.9625,0.96,0.96125,0.928038914,0.9625,0.968796296,0.96305446
DPC,0.985,0.955,0.97,0.944292167,0.985,0.964844173,0.972913839
CTDC,0.8625,0.8475,0.855,0.713657913,0.8625,0.861486817,0.858589382
CTDD,0.8375,0.9425,0.89,0.789538877,0.8375,0.942448535,0.883077635
CTDD,0.925,0.9275,0.92625,0.859202689,0.925,0.939809571,0.92845796
AAC_count,0.9675,0.9,0.93375,0.876710072,0.9675,0.922177933,0.940381725
PAAC,0.965,0.89,0.9275,0.864473513,0.965,0.913581492,0.934706346
AAC+DPC,0.9675,0.955,0.96125,0.926795209,0.9675,0.963942049,0.963672406
AAC+TPC,0.995,0.9525,0.97375,0.953175789,0.995,0.964227642,0.977128095
CTD,0.82,0.9375,0.87875,0.767007629,0.82,0.934095645,0.869981333
EAAC(k=7),0.95,0.875,0.9125,0.832243807,0.95,0.903044903,0.921807144
EAAC(k=5),0.95,0.8875,0.91875,0.844232215,0.95,0.91044523,0.926258803
EAAC(k=6),0.9475,0.88,0.91375,0.834525561,0.9475,0.904599824,0.921774084
EAAC(k=8),0.9575,0.87,0.91375,0.83333001,0.9575,0.898248446,0.923570963
EAAC(k=9),0.9625,0.865,0.91375,0.83344166,0.9625,0.895519053,0.924389586
EAAC(k=10),0.965,0.8575,0.91125,0.827636728,0.965,0.888379456,0.92222443
p_EAAC(k=7),0.9525,0.935,0.94375,0.891998825,0.9525,0.945687232,0.94661281
p_EAAC(k=5),0.96,0.9375,0.94875,0.902264568,0.96,0.949087782,0.952140703
p_EAAC(k=6),0.9575,0.9325,0.945,0.89525494,0.9575,0.944329004,0.948187045
