,Sn, Sp,Acc, MCC, Pre, Recall, F-score
,0x,,,,,,
SVM,0.9,0.77,0.835,0.676082409,0.9,0.806837004,0.849328519
RF,0.87,0.83,0.85,0.703629906,0.87,0.848256333,0.856566198
MLP,0.82,0.865,0.8425,0.696675066,0.82,0.873785526,0.837003101
XGBoost,0.84,0.855,0.8475,0.701315824,0.84,0.861106793,0.846351644
LR,0.825,0.87,0.8475,0.705211434,0.825,0.868341803,0.838212013
,1x,,,,,,
SVM,0.8975,0.845,0.87125,0.744894768,0.8975,0.869197897,0.879392465
RF,0.98,0.905,0.9425,0.893275752,0.98,0.924832057,0.948531056
MLP,0.9775,0.9325,0.955,0.914748365,0.9775,0.943019486,0.958027696
XGBoost,0.9675,0.925,0.94625,0.89711604,0.9675,0.934872919,0.949002455
LR,0.9325,0.895,0.91375,0.833491462,0.9325,0.912698506,0.918778757
,3x,,,,,,
SVM,0.923333333,0.866666667,0.895,0.794122703,0.923333333,0.880023538,0.899456399
RF,0.991666667,0.946666667,0.969166667,0.940076398,0.991666667,0.950595852,0.970279531
MLP,0.991666667,0.946666667,0.969166667,0.940076398,0.991666667,0.950595852,0.970279531
XGBoost,0.983333333,0.955,0.969166667,0.939207432,0.983333333,0.957108171,0.969791243
LR,0.94,0.925,0.9325,0.866228969,0.94,0.927466861,0.93310925
,5x,,,,,,
SVM,0.937,0.871,0.904,0.811094534,0.937,0.881408426,0.907631347
RF,0.991,0.96,0.9755,0.951862742,0.991,0.961830692,0.975996698
MLP,0.981,0.981,0.981,0.962392123,0.981,0.981393733,0.98099539
XGBoost,0.99,0.971,0.9805,0.961370709,0.99,0.971939825,0.980786424
LR,0.953,0.939,0.946,0.892794013,0.953,0.940740735,0.946461151
,7x,,,,,,
SVM,0.945,0.885714286,0.915357143,0.83279478,0.945,0.893763971,0.918288778
RF,0.993571429,0.963571429,0.978571429,0.957710515,0.993571429,0.964942812,0.978977346
MLP,0.992857143,0.986428571,0.989642857,0.979390721,0.992857143,0.98667125,0.989711838
XGBoost,0.996428571,0.986428571,0.991428571,0.98293691,0.996428571,0.986608754,0.991479123
LR,0.95,0.935714286,0.942857143,0.886128651,0.95,0.936970603,0.943272066
,9x,,,,,,
SVM,0.943888889,0.883888889,0.913888889,0.829728651,0.943888889,0.890749328,0.91633232
RF,0.995555556,0.972222222,0.983888889,0.96810504,0.995555556,0.972952792,0.984092604
MLP,0.993333333,0.990555556,0.991944444,0.983962681,0.993333333,0.990661068,0.99196019
XGBoost,0.997222222,0.988333333,0.992777778,0.985625012,0.997222222,0.988497435,0.992825235
LR,0.953333333,0.945555556,0.949444444,0.899081725,0.953333333,0.945948242,0.949541269
